paper_id,stage_failed,reason
TheImpactofAIToolsonStudentsCognitiveProcessesinPracticalSoftwareDevelopment,05_speed,"This paper is primarily a survey-based study examining cognitive processes, motivation, and perceptions rather than measuring objective speed or quality outcomes. The study reports percentages of students who exhibit certain behaviors or hold certain beliefs (e.g., 38% try independently first, 70% feel motivated by AI solutions, 68% believe AI helps them progress faster). However, these are self-reported perceptions, not measured productivity or speed outcomes. The sample sizes are derived from the total N=131 respondents, with 20% (approximately 26) not using AI tools and the remainder (approximately 105) using AI tools. The paper does not report means, standard deviations, or effect sizes for any objective speed or quality measure. The '68% believe AI helps them progress faster' is a perception, not a measured speed outcome. Without actual performance data (time to complete tasks, number of tasks completed, etc.), a speed effect size cannot be computed from this paper. | no usable numbers"
TheImpactofAIToolsonStudentsCognitiveProcessesinPracticalSoftwareDevelopment,05_quality,"After thorough re-reading, this paper is a survey study (N=131 high school students) examining self-reported AI tool usage and perceptions. The methodology section states: 'An online questionnaire was used, combining closed and open-ended questions about students' background, use of AI tools, behavior during implementation, understanding and cognitive processes, motivation, and the teacher's role.' The findings section (Table 1 and surrounding text) reports only descriptive statistics: percentages of students using different AI tools, percentages reporting different behaviors, and agreement levels with various statements. There are no experimental arms, no baseline vs. intervention comparison, and no inferential statistics (t-tests, F-tests, effect sizes) comparing performance or quality outcomes between conditions. The study is purely observational and descriptive in nature. | arm pair unresolvable"
Tipnis et al. 2025,05_quality,"The paper reports a negative carryover effect where volunteers introduced to AI reduce their monthly contributions by 21.3% on average (Table 1: coefficient -0.240, p<0.01). The dependent variable is ln(Tasks_it), which is log-transformed. The paper uses a difference-in-differences design with volunteer and month fixed effects. The matched sample has 360 treated and 360 control volunteers. However, the paper does not report raw means, SDs, or other statistics needed to compute Hedges' g directly. The reported coefficient is from a regression model with fixed effects on a log-transformed outcome, which cannot be directly converted to Hedges' g without additional information. The percentage reduction (21.3%) is calculated as e^(-0.240) - 1. While the paper provides extensive robustness checks and heterogeneity analysis (Tables EC.12-EC.23), none report the raw statistics needed for effect size calculation. The CIC analysis (Table 3) shows quantile treatment effects but these are also not in a form convertible to Hedges' g. | insufficient numbers for d"
Wu & Sundararajan 2025,02_method_classification,study_design=other (This is explicitly described as 'a theoretical study using a principal-agent model' with no empirical data collection or)
Zhang et al. 2024,05_quality,"The paper reports regression coefficients rather than simple treatment vs. control means. Table 15 shows: Control Baseline (Mean) = 0.509, Treat coefficient = 0.016*** (SE=0.0002), Treat*Similarity coefficient = -0.245*** (SE=0.0002). The treatment effect varies by similarity score. At similarity=0 (fully human-revised AI titles), the treatment effect would be 0.016, giving an implied mean of ~0.525 for treatment. However, the paper does not report SDs for either arm directly, only standard errors for regression coefficients. The sample is 3,885,089 matched videos (from PSM analysis). Without SDs or a direct t-statistic comparing arms, Hedges' g cannot be reliably computed. The p-value is reported as p<0.01 (inequality only, not exact value). | insufficient numbers for d"
burning glass,05_speed,"This document ('No Country for Young Grads') is a policy/analysis report examining structural labor market trends affecting college graduates. It discusses unemployment rates, underemployment, and the impact of AI on entry-level jobs at a macro level using BLS data and job posting analytics. It does NOT report an experimental or observational study with human-only vs. human+AI arms performing tasks. The paper analyzes aggregate employment statistics (e.g., unemployment rates by education level, job posting trends by AI exposure) but contains no individual-level productivity measurements, no controlled comparisons of worker performance with/without AI assistance, and no means/SDs/effect sizes for task completion. The 'Expertise Upheaval' framework discussed is theoretical. Charts show trends in job postings and unemployment rates across demographic groups, not experimental outcomes. There are no arms, no participants completing tasks, and no speed or quality measurements suitable for meta-analysis of AI assistance effects on individual productivity. | arm pair unresolvable"
burning glass,05_quality,"After full re-read: This is a labor economics research report, not an experimental study. It analyzes unemployment and underemployment trends among young college graduates using secondary data sources (BLS, job postings, Census projections). The paper identifies structural forces (AI-driven 'Expertise Upheaval', post-pandemic hiring shifts, rising graduate supply) affecting entry-level job markets. No human-only vs. human+AI task performance is measured. No experimental arms exist. The prior pass correctly identified that no speed or quality primary outcome (in the experimental sense) is present. This paper is ineligible for Hedges' g extraction under the current protocol, which requires a controlled comparison of human vs. human+AI performance on a measurable outcome. | arm pair unresolvable"
doshi hauser,05_quality,"SALVAGE PASS: Found n_human=95 from table S1 (Human-only condition). The paper reports regression coefficients (b=0.311, p<0.001 for five-ideas condition; b=0.207, p=0.021 for one-idea condition) but does not provide means, SDs, t-statistics, F-statistics, or effect sizes. The only exact p-value available is p=0.021 for the one-idea condition; the five-ideas condition reports only 'p < 0.001' (inequality). Without means+SDs, t-statistics, F-statistics, or reported effect sizes, we can only provide sample sizes and the exact p-value from the weaker comparison. This is Level F extraction (p-value + n only), which yields very low precision for effect size estimation. The p-value of 0.021 is from the one-idea comparison, not the five-ideas comparison we selected as the AI arm, further reducing confidence. | insufficient numbers for d"
jiaetal,05_quality,"Figure 6 caption states 'D4>0 (p = 0.012)', indicating the difference between AI-human Hybrids (0.045) and Human agents on their own (0.028) is statistically significant. The sample sizes are inferred from the experimental design: 3,144 total customers were randomly assigned, with approximately half (1,572) to each of the two main conditions (AI-human Hybrids vs. Human agents on their own). The paper reports means but not SDs for this comparison. The error bars in Figure 6 appear to show standard errors but exact values are not provided in the text. The p-value of 0.012 is exact as reported in the figure caption. | insufficient numbers for d"
liu2024b,05_quality,"After careful re-reading, this study definitively does NOT include a human-only baseline. The study design is a within-subjects comparison of two AI-assisted conditions that differ only in the level of AI initiative during co-creation. The paper states: 'We conducted an experiment with 20 HCI researchers to examine the impact of two interaction designs: breadth-first and depth-first RQ generation.' Both designs use the CoQuest LLM-based agent system. The MANOVA F-statistic (df1=4) is a multivariate test across four dependent variables (novelty, value, surprise, relevance), not a simple two-group comparison on a single outcome. The study's research questions focus on comparing these two AI-assisted approaches, not on comparing AI assistance to no AI assistance. Total N=20 participants, each completing both conditions in counterbalanced order. | arm pair unresolvable"
meincke2025,05_speed,"This is a 'Matters Arising' commentary paper that re-analyzes Lee & Chung (2024) data. The paper does NOT measure speed/productivity/throughput as its primary outcome. Instead, it measures DIVERSITY of idea sets using metrics like 'percentage of unique ideas' and cosine similarity between ideas. The primary finding is that ChatGPT-aided idea sets have LOWER diversity (e.g., Experiment 1: web-search 0.96 vs ChatGPT 0.74 unique fraction; Experiment 2a: human 0.92, web-search 0.91, ChatGPT 0.70; Experiment 2b: human-only 1.00, ChatGPT-human 0.41, ChatGPT-only 0.06). These are NOT speed metrics. The paper explicitly states it is analyzing 'diversity of ideas' and 'originality at the set level' rather than individual creativity scores or completion time. The original Lee & Chung paper may have measured creativity scores, but this commentary focuses exclusively on diversity metrics. There are no means, SDs, or effect sizes reported for any speed/productivity outcome. Sample sizes are mentioned in passing (e.g., '20 out of 96 ChatGPT-aided ideas included the word sprinkler') but these refer to idea counts, not participant counts for a speed measure. The paper is fundamentally about a different outcome dimension (diversity) than what the SPEED extraction schema requires (productivity/throughput/time). | no usable numbers"
meincke2025,05_quality,"This is a Matters Arising commentary that re-analyzes Lee & Chung (2024) data to examine idea diversity, not individual idea quality. The paper does not report a primary quality outcome with extractable means, SDs, or test statistics. All reported statistics concern diversity metrics (unique fraction of ideas, cosine similarity thresholds). The paper references Lee & Chung's finding that 'ChatGPT enhanced the average creativity of ideas' but does not reproduce those statistics here. To extract quality outcome effect sizes, one would need to access the original Lee & Chung (2024) paper (https://doi.org/10.1038/s41562-024-01953-1), not this commentary. | arm pair unresolvable"
ssrn-4539836,02_method_classification,"study_design=other (This study compares three conditions (AI-assisted humans, AI alone with different prompting methods, and historical cont)"
vaccaro-meta,02_method_classification,study_design=other (This is a 'preregistered systematic review and meta-analysis of 106 experimental studies' that synthesizes findings acro)
ziegler,05_speed,"This paper does not have a traditional RCT design with separate human-only and AI arms. Instead, it's an observational study of 2,047 GitHub Copilot users who completed a survey. The analysis correlates usage metrics (particularly acceptance rate = accepted_per_shown) with self-reported aggregate productivity scores. The key finding is a Pearson correlation coefficient ρ = 0.24 (P < 0.0001) between acceptance rate and aggregate productivity. This is NOT a mean difference or percent change in throughput, but rather a correlation coefficient. The paper states: 'Of all usage measurements, acceptance rate correlates best with aggregate productivity (ρ = 0.24, P < 0.0001).' The outcome 'contribution_speed' (characters per hour) is one of many metrics examined, but the primary finding is about the correlation with perceived productivity, not a direct comparison of speed with vs. without AI. The sample size n=2047 represents survey respondents matched to usage data. Without separate human-only and AI arms, or reported means/SDs for contribution_speed, we cannot compute a traditional log ratio of means. The regression_coefficient_value of 0.24 is the correlation coefficient, not a regression coefficient in the traditional sense for computing effect sizes. This study design does not cleanly map to the SPEED extraction schema. | regression coefficient on levels but baseline mean unknown"
ziegler,05_quality,"After careful re-reading, this paper is definitively an observational correlational study, not a controlled experiment or A/B test. All 2,631 survey respondents were users of GitHub Copilot during the technical preview. The study's core contribution is establishing that acceptance rate (the fraction of shown completions that developers accept) correlates with self-reported productivity (ρ = 0.24, P < 0.0001). The paper explicitly states its goal: 'we investigate whether usage measurements of developer interactions with GitHub Copilot can predict perceived productivity as reported by developers.' There is no baseline condition without AI assistance. The paper does reference a prior RCT (reference 16, Peng et al.) that found task completion time reductions, but the current study does not replicate that experimental design. Instead, it analyzes naturalistic variation in how developers engage with the tool. Therefore, no arm pair can be resolved for computing Hedges' g comparing human-only vs. human+AI performance. | arm pair unresolvable"
